area_type,location,size,total_sqft,bath,balcony,age,price
Super built-up  Area,Kengeri,1,1200,1,1,3.278227596,14
Super built-up  Area,Yelahanka,1,1000,1,0,3.278227596,14
Super built-up  Area,Ananth Nagar,1,500,1,1,3.278227596,14
Super built-up  Area,Chandapura,1,520,1,1,3.342599174,14.04
Super built-up  Area,Chandapura,1,520,1,1,3.342599174,14.04
Super built-up  Area,Chandapura,1,520,1,1,3.342599174,14.04
Built-up  Area,Kengeri,1,600,1,1,3.386003829,15
Super built-up  Area,Belathur,2,460,1,0,3.386003829,15
Super built-up  Area,Makali,1,485,1,1,3.386003829,15
Super built-up  Area,Electronic City,2,550,1,1,3.394290808,15
Super built-up  Area,Electronic City,2,550,1,1,3.394290808,15
Super built-up  Area,Electronic City,2,660,1,1,3.394290808,15
Super built-up  Area,Makali,1,500,1,1,3.395758659,15
Built-up  Area,JP Nagar,2,1100,1,1,3.395758659,15
Super built-up  Area,Kadabagere,2,675,1,1,3.395758659,15
Built-up  Area,Electronic City,2,550,1,1,3.410785658,15
Super built-up  Area,Alur,1,425,1,1,3.410785658,15
Super built-up  Area,Yelahanka New Town,1,450,1,1,3.410785658,15
Super built-up  Area,Kengeri Satellite Town,1,410,1,1,3.412865926,15
Built-up  Area,Kadabagere,2,565,2,1,3.412865926,15
Super built-up  Area,Anekal,1,456,1,1,3.412865926,15
Built-up  Area,Kengeri,1,410,1,1,3.413044959,15
Built-up  Area,Attibele,1,520,1,1,3.413044959,15
Super built-up  Area,Chandapura,1,520 - 645,1,0,3.413044959,15.135
Super built-up  Area,Electronic City,2,660,1,1,3.430713498,15.5
Built-up  Area,Electronic City,2,550,1,1,3.430713498,16
Super built-up  Area,Electronic City,2,710,2,2,3.430713498,16
Built-up  Area, Anekal,1,351,1,1,3.431500039,16
Super built-up  Area,Electronic City,2,660,1,1,3.431500039,16
Super built-up  Area,Basava Nagar,1,550,1,1,3.431500039,16
Built-up  Area,Harsha Layout,1,650,1,0,3.438546514,16
Built-up  Area,Yelahanka New Town,1,450,1,0,3.438546514,16
Super built-up  Area,Harsha Layout,1,500,1,1,3.438546514,16
Super built-up  Area,Celebrity Paradise Layout,1,550,1,1,3.443457952,16
Super built-up  Area,Electronic City,2,550,1,1,3.443457952,16
Super built-up  Area,Electronic City,2,550,2,1,3.443457952,16
Super built-up  Area,Chandapura,1,645,1,1,3.446131154,16.45
Super built-up  Area,Chandapura,1,645,1,1,3.446131154,16.45
Super built-up  Area,Chandapura,1,645,1,1,3.446131154,16.45
Super built-up  Area,Chandapura,1,645,1,1,3.455060765,16.45
Super built-up  Area,Chandapura,1,645,1,1,3.455060765,16.45
Super built-up  Area,Chandapura,1,645,1,1,3.455060765,16.45
Super built-up  Area,Chandapura,1,645,1,1,3.479985415,16.45
Super built-up  Area,Chandapura,1,645,1,1,3.479985415,16.45
Super built-up  Area,Chandapura,1,645,1,1,3.479985415,16.45
Super built-up  Area,Chandapura,1,645,1,1,3.485869967,16.45
Super built-up  Area,Chandapura,1,645,1,1,3.485869967,16.45
Super built-up  Area,Electronic City,2,880,1,1,3.485869967,16.5
Super built-up  Area,Yelahanka New Town,1,440,1,1,3.49042996,16.5
Super built-up  Area,Anekal,1,600,1,1,3.49042996,16.5
Plot  Area,Rayasandra,1,540,1,1,3.49042996,16.5
Plot  Area,Anekal,,1453,,,3.516437566,16.5
Super built-up  Area,Electronic City,2,660,1,1,3.516437566,16.5
Built-up  Area,Kengeri Satellite Town,2,560,2,1,3.516437566,16.6
Built-up  Area,Kengeri,1,550,1,1,3.518886315,16.75
Built-up  Area,Electronic City Phase II,1,575,1,1,3.518886315,16.75
Super built-up  Area,Electronics City Phase 1,1,360,1,0,3.518886315,16.9
Built-up  Area,Chandapura,2,650,1,1,3.525267865,17
Super built-up  Area,BAGUR,1,686,1,1,3.525267865,17
Super built-up  Area,Attibele,1,500,1,1,3.525267865,17
Built-up  Area, Mysore Highway,1,600,1,1,3.533102865,17
Built-up  Area,Attibele,1,420,1,1,3.533102865,17
Super built-up  Area,Doddathoguru,1,550,1,1,3.533102865,17
Built-up  Area,Kengeri,1,500,1,1,3.545706487,17
Super built-up  Area,Marsur,2,497,1,1,3.545706487,17
Built-up  Area,Yelahanka New Town,1,650,1,1,3.545706487,17
Super built-up  Area,Kodipalya,1,418,1,1,3.55805376,17
Super built-up  Area,Doddathoguru,1,550,1,1,3.55805376,17
Super built-up  Area,Sarjapur,1,633,1,1,3.55805376,17.09
Super built-up  Area,Kengeri,1,416,1,1,3.56367208,17.19
Built-up  Area,Yelahanka,1,651,1,1,3.56367208,17.5
Built-up  Area,Mysore Road,1,500,1,1,3.56367208,17.5
Super built-up  Area,Sarjapur,1,633 - 666,1,0,3.571056075,17.535
Super built-up  Area,Sarjapur  Road,1,580 - 650,1,0,3.571056075,17.835
Super built-up  Area,Anekal,1,530,1,1,3.571056075,18
Super built-up  Area,Yelahanka New Town,1,960,2,1,3.573485177,18
Built-up  Area,Electronic City,3,880,2,1,3.573485177,18
Super built-up  Area,Electronic City,2,660,1,1,3.573485177,18
Built-up  Area,Kodichikkanahalli,1,450,1,1,3.594830126,18
Super built-up  Area,Tunganagara,1,600,1,0,3.594830126,18
Super built-up  Area,Kengeri,1,416,1,1,3.594830126,18
Super built-up  Area,Yelahanka New Town,1,500,1,1,3.596318811,18
Carpet  Area,Yelahanka New Town,1,45.06Sq. Meter,2,1,3.596318811,18
Built-up  Area,Kengeri,2,633,1,1,3.596318811,18
Built-up  Area,Electronic City,2,660,1,0,3.606331313,18
Super built-up  Area,Yelahanka New Town,1,650,1,1,3.606331313,18
Super built-up  Area,Makali,1,530,1,1,3.606331313,18
Super built-up  Area,Kammasandra,1,650 - 665,1,0,3.607404727,18.41
Built-up  Area,Bannerghatta Road,1,500,1,1,3.607404727,18.5
Super built-up  Area,Kengeri,1,34.46Sq. Meter,1,0,3.607404727,18.5
Super built-up  Area,Venkatapura,1,416,1,1,3.613225369,18.5
Built-up  Area,Chandapura,2,850,1,1,3.613225369,18.5
Super built-up  Area,Chandapura,2,750,1,1,3.613225369,18.5
Super built-up  Area,Kammasandra,1,610,1,1,3.634897423,18.5
Super built-up  Area,Chandapura,2,700,1,1,3.634897423,19
Super built-up  Area,Sarjapur,1,625,1,1,3.634897423,19
Super built-up  Area,Bethel Nagar,1,560,1,0,3.639344477,19
Super built-up  Area,AMS Layout,1,1000,1,1,3.639344477,19
Super built-up  Area,Electronic City,2,880,2,1,3.639344477,19
Super built-up  Area,Varthur Road,2,770 - 841,2,0,3.640221786,19.33
Built-up  Area,Anekal,2,700,1,0,3.640221786,19.4
Super built-up  Area,Bommanahalli,1,520,1,0,3.640221786,19.5
Super built-up  Area,Chikkathoguru,1,1500,1,1,3.644175062,19.5
Super built-up  Area,Kengeri,1,416,1,1,3.644175062,19.5
Built-up  Area, Electronic City,1,435,1,1,3.644175062,19.5
Built-up  Area,Kereguddadahalli,1,600,1,1,3.647654634,19.5
Plot  Area,Yelahanka,1,1075,1,0,3.647654634,19.5
Built-up  Area,Amruthahalli,1,485,1,1,3.647654634,19.5
Built-up  Area,Electronic City,2,750,2,1,3.648545707,19.5
Super built-up  Area,Attibele,1,782,1,0,3.648545707,19.55
Super built-up  Area,Sarjapur  Road,1,534,1,1,3.648545707,19.65
Carpet  Area,Kanakpura Road,1,381 - 535,1,0,3.654666982,19.695
Super built-up  Area, Rachenahalli,1,385 - 440,1,0,3.654666982,19.8
Super built-up  Area,Abbigere,1,734,1,0,3.654666982,19.82
Super built-up  Area,Whitefield,1,540 - 740,1,0,3.664293785,19.83
Super built-up  Area,Sarjapur,1,650,1,2,3.664293785,19.87
Super built-up  Area,Gunjur Palya,2,674,1,1,3.664293785,19.9
Super built-up  Area,Kaikondrahalli,2,674,1,1,3.686286995,19.9
Super built-up  Area,Chandapura,2,674,1,1,3.686286995,19.9
Super built-up  Area,Jakkur,2,850,1,1,3.686286995,19.9
Super built-up  Area,Dommasandra,2,674,1,1,3.690574063,19.9
Super built-up  Area,Varthur,2,674,1,1,3.690574063,19.9
Super built-up  Area,Chandapura,2,800,1,1,3.690574063,20
Built-up  Area,Alur,1,530,1,1,3.69089057,20
Plot  Area,Chikkabanavar,1,1200,1,0,3.69089057,20
Super built-up  Area,Yelahanka New Town,1,500,1,1,3.69089057,20
Built-up  Area,Panduranga Nagar,1,500,1,0,3.696844062,20
Super built-up  Area,Yelahanka New Town,1,650,1,1,3.696844062,20
Carpet  Area,Nagarbhavi,1,300,1,1,3.696844062,20
Built-up  Area,9th Phase JP Nagar,1,600,1,0,3.70833623,20
Super built-up  Area,Bilal Nagar,2,650,1,1,3.70833623,20
Super built-up  Area,Kengeri Satellite Town Stage II,1,500,1,1,3.70833623,20
Super built-up  Area,Sarjapur,2,535,1,1,3.711992007,20
Super built-up  Area,Electronic City,2,1200,2,1,3.711992007,20
Super built-up  Area,BTM Layout,1,450,1,1,3.711992007,20
Super built-up  Area,Marsur,2,497,1,1,3.715277954,20
Plot  Area,Venkateswara Nagar,1,600,1,0,3.715277954,20
Built-up  Area,Sidedahalli,2,750,2,0,3.715277954,20
Built-up  Area,Yelahanka New Town,1,488,1,1,3.719435743,20
Super built-up  Area,Pillanna Gardens,2,550,1,1,3.719435743,20
Super built-up  Area,Shauhardha Layout,1,509,1,1,3.719435743,20
Built-up  Area,Hulimavu,1,450,1,1,3.727083933,20
Super built-up  Area,Marsur,2,497,1,1,3.727083933,20
Super built-up  Area,Harsha Layout,1,450,1,1,3.727083933,20
Super built-up  Area,Shivaji Nagar,2,500,1,1,3.735941791,20
Built-up  Area,P&T Colony,1,425,1,0,3.735941791,20.03
Built-up  Area,Neeladri Nagar,1,640,1,1,3.735941791,20.5
Super built-up  Area,Neeladri Nagar,1,674,1,1,3.738592971,21
Super built-up  Area,Hosur Road,1,460,1,1,3.738592971,21
Super built-up  Area,Raja Rajeshwari Nagar,1,550,1,0,3.738592971,21
Built-up  Area,Whitefield,1,810,1,0,3.743747008,21
Super built-up  Area,Electronics City Phase 1,1,585,1,1,3.743747008,21
Super built-up  Area,Electronic City,1,435,1,1,3.743747008,21
Built-up  Area,Bagalakunte,1,560,1,1,3.744902467,21
Built-up  Area,Rayasandra,1,470,1,1,3.744902467,21
Super built-up  Area,Anekal,2,680,1,1,3.744902467,21
Super built-up  Area,Hosur Road,1,760,1,2,3.745922263,21.28
Built-up  Area,KR Puram,1,700,1,1,3.745922263,21.5
Super built-up  Area,Kanakpura Road,1,525,,,3.745922263,21.53
Built-up  Area,Kaval Byrasandra,2,460,1,0,3.749314681,22
Super built-up  Area,Anekal,2,656,2,1,3.749314681,22
Super built-up  Area,Raja Rajeshwari Nagar,1,600,1,1,3.749314681,22
Super built-up  Area,Anekal,2,620,2,1,3.753906833,22
Super built-up  Area,Kengeri,2,750,2,2,3.753906833,22
Super built-up  Area,Electronic City,2,1000,2,2,3.753906833,22
Built-up  Area,Byagadadhenahalli,2,620,2,1,3.770547698,22
Super built-up  Area,Kengeri Satellite Town,2,635,1,1,3.770547698,22
Super built-up  Area,Kengeri Satellite Town,1,654,1,1,3.770547698,22
Built-up  Area,Magadi Road,2,600,1,1,3.779592247,22
Built-up  Area,Geleyara Balaga Layout,2,596,2,1,3.779592247,22
Super built-up  Area,Electronic City,1,435,1,1,3.779592247,22
Built-up  Area,KR Puram,2,734,2,1,3.784839441,22
Super built-up  Area,Electronic City,1,605,1,1,3.784839441,22
Built-up  Area,Allalasandra,2,560,2,1,3.784839441,22
Plot  Area,Annaiah Reddy Layout,1,540,1,0,3.786709298,22
Built-up  Area,Chandapura,2,740,1,1,3.786709298,22
Super built-up  Area,Raja Rajeshwari Nagar,1,510,1,1,3.786709298,22
Super built-up  Area,Dommasandra,2,805,2,1,3.802598991,22.14
Super built-up  Area,Dasanapura,2,545,2,1,3.802598991,22.34
Built-up  Area,Celebrity Paradise Layout,1,532,1,1,3.802598991,22.49
Super built-up  Area,Shree Ananth Nagar Layout,2,900,2,2,3.816094456,22.5
Super built-up  Area,Ananth Nagar,2,900,2,2,3.816094456,22.5
Super built-up  Area,Kengeri,1,540,1,1,3.816094456,22.5
Super built-up  Area,Bhagyalakshmi Avenue,1,540,1,1,3.824204216,22.5
Super built-up  Area,Sarjapura - Attibele Road,2,829,2,1,3.824204216,22.8
Super built-up  Area,Kodathi,2,829,2,1,3.824204216,22.8
Super built-up  Area,Electronic City Phase II,2,829,2,1,3.831695269,22.8
Super built-up  Area,Lake City,1,600,1,1,3.831695269,22.8
Super built-up  Area, Bhoganhalli,1,296,1,0,3.831695269,22.89
Plot  Area,Hennur Road,2,276,3,3,3.854617568,23
Built-up  Area,Jyothi Nagar,2,600,2,1,3.854617568,23
Super built-up  Area,Electronics City Phase 1,1,650,1,1,3.854617568,23
Super built-up  Area,Byagadadhenahalli,2,620,2,1,3.858766446,23
Plot  Area,Mysore Road,1,45,1,0,3.858766446,23
Super built-up  Area,Jalahalli West,1,550,1,1,3.858766446,23
Super built-up  Area,Austin Town,1,600,2,0,3.862416923,23
Super built-up  Area,Hosur Road,1,660,1,1,3.862416923,23
Super built-up  Area,Electronic City,2,660,1,1,3.862416923,23
Super built-up  Area,Byagadadhenahalli,2,620,2,1,3.870868952,23
Super built-up  Area,Hoskote,1,509,1,1,3.870868952,23
Super built-up  Area,Electronic City,2,660,1,1,3.870868952,23.1
Super built-up  Area,Kammasandra,2,1018,2,0,3.881794238,23.45
Super built-up  Area,5th Phase JP Nagar,1,552,1,1,3.881794238,23.5
Built-up  Area,Anekal,2,620,1,1,3.881794238,23.5
Built-up  Area,Raghuvanahalli,1,420,1,1,3.883363566,23.5
Super built-up  Area,Sarjapura - Attibele Road,1,740,1,1,3.883363566,23.65
Super built-up  Area,Yelahanka,1,628,1,1,3.883363566,24
Super built-up  Area,Kammasandra,2,870,2,1,3.895831096,24
Super built-up  Area,Nelamangala,2,820,2,2,3.895831096,24
Built-up  Area,Sarvabhouma Nagar,1,500,1,0,3.895831096,24
Built-up  Area,Devarachikkanahalli,1,615,1,1,3.907090367,24
Super built-up  Area,Yelahanka New Town,1,500,2,1,3.907090367,24
Super built-up  Area,Venkateshpuram,2,625,2,1,3.907090367,24
Built-up  Area,Hessarghatta,2,900,2,1,3.90784119,24
Built-up  Area,Electronic City,2,870,2,2,3.90784119,24
Super built-up  Area,Bhagyalakshmi Avenue,1,540,1,2,3.90784119,24
Plot  Area,Sunkadakatte,1,600,1,0,3.909432709,24
Super built-up  Area,Kammasandra,2,810,2,2,3.909432709,24.5
Plot  Area,Gollarahatti,4,740,2,1,3.909432709,24.5
Super built-up  Area,Ananth Nagar,2,982,2,2,3.921476794,24.55
Super built-up  Area,Ananth Nagar,2,992,2,2,3.921476794,24.8
Super built-up  Area,Chandapura,2,975,2,1,3.921476794,24.86
Super built-up  Area,Chandapura,2,975,2,1,3.927293256,24.86
Super built-up  Area,Chandapura,2,975,2,1,3.927293256,24.86
Super built-up  Area,Chandapura,2,975,2,1,3.927293256,24.86
Super built-up  Area,Attibele,2,995,1,1,3.930198546,24.88
Super built-up  Area,Hosa Road,1,760,1,1,3.930198546,24.9
Super built-up  Area,Attibele,2,996,2,1,3.930198546,24.9
Super built-up  Area,Electronics City Phase 1,2,891,2,1,3.937577626,24.95
Built-up  Area,Kengeri,2,1000,2,1,3.937577626,25
Super built-up  Area,Electronic City Phase II,2,1000,2,1,3.937577626,25
Built-up  Area,Attibele,2,656,2,1,3.939501102,25
Built-up  Area,Gottigere,2,891,2,1,3.939501102,25
Super built-up  Area,Jalahalli West,1,469,1,0,3.939501102,25
Super built-up  Area,Raja Rajeshwari Nagar,1,500,1,1,3.942530861,25
Super built-up  Area,Doddathoguru,2,850,2,1,3.942530861,25
Super built-up  Area,Kengeri Satellite Town,2,1072,2,1,3.942530861,25
Super built-up  Area,Basaveshwara Nagar Yelahanka,1,581.91,2,1,3.944863742,25
Super built-up  Area,Kaveri Nagar,1,750,1,2,3.944863742,25
Built-up  Area,KR Puram,2,750,2,1,3.944863742,25
Built-up  Area,Bommanahalli,1,515,1,1,3.945932446,25
Plot  Area,Basavanagara,4,2000,3,2,3.945932446,25
Super built-up  Area,Sarjapur,2,925,2,1,3.945932446,25
Super built-up  Area,Keerthi Layout,2,780,2,2,3.951706343,25
Super built-up  Area,Kanakpura Road,1,525,1,1,3.951706343,25
Super built-up  Area,Electronic City,2,1000,2,3,3.951706343,25
Super built-up  Area,Byagadadhenahalli,2,620,1,1,3.962672206,25
Super built-up  Area,Kammasandra,2,930,2,0,3.962672206,25
Super built-up  Area,Whitefield,1,650,1,1,3.962672206,25
Super built-up  Area,Kuvempu Nagar,1,450,1,1,3.962770297,25
Built-up  Area,Kengeri,1,502,1,1,3.962770297,25
Super built-up  Area,Anjanapura,2,710,2,0,3.962770297,25
Super built-up  Area,Attibele,2,695,1,1,3.96574483,25
Super built-up  Area,Attibele,2,850,1,1,3.96574483,25
Super built-up  Area,Chikkabanavar,2,600,1,2,3.96574483,25
Super built-up  Area,Electronic City,2,1210,2,2,3.966391566,25
Built-up  Area,Kaval Byrasandra,1,480,1,1,3.966391566,25
Super built-up  Area,Chandapura,2,800,2,1,3.966391566,25
Super built-up  Area,Kengeri,1,400,2,1,3.970244357,25
Super built-up  Area,Attibele,2,900,1,1,3.970244357,25
Super built-up  Area,Attibele,2,656,2,1,3.970244357,25
Super built-up  Area,Marsur,2,497,1,1,3.979496081,25
Super built-up  Area,Phase 1 Kammasandra,2,982,2,1,3.979496081,25
Super built-up  Area,Soppahalli,1,620,1,1,3.979496081,25
Super built-up  Area,Ananth Nagar,2,1000,2,3,3.979703619,25
Super built-up  Area,Ananth Nagar,2,902,2,2,3.979703619,25
Super built-up  Area,Sarjapur  Road,2,980,2,1,3.979703619,25
Super built-up  Area,Shanti Nagar,2,420,1,1,3.983346134,25
Super built-up  Area,Kengeri Satellite Town,2,777.4,2,0,3.983346134,25
Super built-up  Area,Kengeri,1,400,1,1,3.983346134,25
Built-up  Area,Sidedahalli,2,900,2,0,3.986452421,25
Super built-up  Area,Malleshwaram,2,302,2,1,3.986452421,25
Super built-up  Area,Attibele,2,656,2,1,3.986452421,25
Built-up  Area,Yelahanka,1,567,1,1,3.987009788,25
Super built-up  Area,Anekal,2,625,1,1,3.987009788,25
Built-up  Area,Bommasandra,2,950,2,1,3.987009788,25
Super built-up  Area,Chandapura,2,985,2,1,3.989950505,25.12
Super built-up  Area,Chandapura,2,985,2,1,3.989950505,25.12
Super built-up  Area,Chandapura,2,985,2,1,3.989950505,25.12
Super built-up  Area, Thanisandra,1,510,1,0,3.992027946,25.25
Super built-up  Area, Thanisandra,1,510,1,1,3.992027946,25.25
Super built-up  Area,Ananth Nagar,2,902,2,1,3.992027946,25.26
Super built-up  Area,Chandapura,2,598 - 958,2,0,3.992420475,25.29
Super built-up  Area,Sarjapur,2,940,2,1,3.992420475,25.38
Super built-up  Area,Chandapura,2,850,2,1,3.992420475,25.4
Super built-up  Area,Kaikondrahalli,2,849,2,1,3.994323302,25.4
Super built-up  Area,Dommasandra,2,850,2,1,3.994323302,25.4
Super built-up  Area,Gunjur Palya,2,849,2,2,3.994323302,25.4
Super built-up  Area,Varthur Road,2,850,2,1,3.995153644,25.4
Super built-up  Area,ITPL,2,850,2,1,3.995153644,25.4
Plot  Area,Jigani,,1500,,,3.995153644,25.49
Super built-up  Area,Doddathoguru,1,750,1,1,3.997533151,25.5
Built-up  Area,Ananth Nagar,2,810,2,1,3.997533151,25.5
Super built-up  Area, Mysore Highway,1,700,1,1,3.997533151,25.5
Super built-up  Area,Dommasandra,3,1033,2,2,4.001515766,25.53
Super built-up  Area,Kammasandra,2,982,2,2,4.001515766,25.53
Super built-up  Area,Chandapura,2,950,2,1,4.001515766,25.65
Super built-up  Area,Kammasandra,2,1030,1,2,4.00349912,25.75
Super built-up  Area,Kammasandra,2,992,2,2,4.00349912,25.79
Built-up  Area,Nagavarapalya,1,646,1,0,4.00349912,25.84
Super built-up  Area,Chandapura,2,1015,2,2,4.005731084,25.88
Super built-up  Area,Chandapura,2,1015,2,2,4.005731084,25.88
Super built-up  Area,Chandapura,2,1015,2,2,4.005731084,25.88
Super built-up  Area,Chandapura,2,1015,2,2,4.007017132,25.88
Super built-up  Area,Chandapura,2,1015,2,2,4.007017132,25.88
Built-up  Area,Ananth Nagar,2,850,2,1,4.007017132,25.99
Super built-up  Area,Ananth Nagar,2,930,2,1,4.010907337,25.99
Super built-up  Area,Geleyara Balaga Layout,2,700,1,1,4.010907337,26
Super built-up  Area,Kanakpura Road,1,525,1,1,4.010907337,26
Built-up  Area,Shampura,1,375,2,0,4.018524685,26
Super built-up  Area,Kanakpura Road,1,525,1,1,4.018524685,26
Super built-up  Area,Yelahanka New Town,2,550,2,1,4.018524685,26
Super built-up  Area,Shettigere,1,650,1,1,4.019356939,26
Super built-up  Area,Ramamurthy Nagar,1,360,1,1,4.019356939,26
Built-up  Area,Neeladri Nagar,1,527,1,0,4.019356939,26
Plot  Area,Gottigere,1,812,1,0,4.020978811,26
Super built-up  Area,2nd Phase Judicial Layout,1,525,1,1,4.020978811,26
Super built-up  Area,Ananth Nagar,2,908,2,1,4.020978811,26
Plot  Area,Gottigere,1,812,1,1,4.025767576,26
Super built-up  Area,Kengeri Satellite Town,2,818,2,1,4.025767576,26
Super built-up  Area,Yelahanka,1,602,1,1,4.025767576,26
Built-up  Area,Electronics City Phase 1,1,635,1,0,4.028327591,26
Super built-up  Area,Electronic City Phase II,2,920,2,2,4.028327591,26
Built-up  Area,KG Halli,1,375,1,0,4.028327591,26
Super built-up  Area,Kanakpura Road,1,525,1,1,4.030105163,26
Plot  Area,Weavers Colony,1,812,1,1,4.030105163,26
Super built-up  Area,Doddabanahalli,2,830,2,2,4.030105163,26
Super built-up  Area,Sarjapur  Road,1,475,1,1,4.034468457,26
Super built-up  Area,Electronics City Phase 1,2,891,2,1,4.034468457,26
Super built-up  Area,Kanakpura Road,1,525,1,1,4.034468457,26
Plot  Area,Weavers Colony,1,812,1,0,4.035776603,26
Super built-up  Area,Kanakpura Road,1,525,1,1,4.035776603,26.01
Super built-up  Area,Kanakpura Road,1,525,1,1,4.035776603,26.25
Super built-up  Area,Doddathoguru,2,1140,2,2,4.043752332,26.49
Super built-up  Area,Bommasandra,2,1060,2,1,4.043752332,26.5
Super built-up  Area,Electronic City Phase II,2,911,2,1,4.043752332,26.5
Super built-up  Area,Electronic City,2,1025,1,1,4.045025219,26.63
Built-up  Area,Electronic City Phase II,2,1025,2,1,4.045025219,26.65
Plot  Area,Whitefield,,2324,,,4.045025219,26.73
Super built-up  Area,Ananth Nagar,2,1074,2,2,4.047392572,26.85
Super built-up  Area,Rayasandra,1,583,1,1,4.047392572,26.9
Super built-up  Area,Devanahalli,1,658,1,0,4.047392572,26.91
Super built-up  Area,Devanahalli,1,658,1,1,4.050263913,26.91
Super built-up  Area,Electronic City,1,589,1,1,4.050263913,27
Super built-up  Area,Kodathi,2,850,2,2,4.050263913,27
Built-up  Area,Sidedahalli,2,900,2,0,4.0570074,27
Built-up  Area,Sarjapur  Road,1,710,1,1,4.0570074,27
Built-up  Area,Hessarghatta,2,700,2,0,4.0570074,27
Super built-up  Area,Chandapura,2,1201,2,2,4.062422165,27
Built-up  Area,BSM Extension,2,840,2,2,4.062422165,27
Super built-up  Area,Electronic City Phase II,2,545,1,1,4.062422165,27
Super built-up  Area,Begur Road,2,970,2,2,4.065513078,27
Super built-up  Area,Varthur Road,2,900,2,1,4.065513078,27
Built-up  Area,Chandapura,2,630,1,1,4.065513078,27
Built-up  Area,Yelahanka,2,600,2,2,4.067074053,27
Built-up  Area,Chandapura,1,620,1,1,4.067074053,27
Built-up  Area,Electronics City Phase 1,1,580,1,1,4.067074053,27
Super built-up  Area,9th Phase JP Nagar,2,660,2,0,4.067165987,27
Super built-up  Area,Kanakpura Road,1,525,,,4.067165987,27
Super built-up  Area,Seegehalli,2,920,2,1,4.067165987,27
Super built-up  Area,Gunjur Palya,2,900,2,1,4.069428648,27
Built-up  Area,Shivaji Nagar,2,550,1,1,4.069428648,27
Super built-up  Area,Electronic City,2,1017,2,2,4.069428648,27
Super built-up  Area,Kanakpura Road,1,525,1,1,4.069649993,27
Super built-up  Area,Sanne Amanikere,1,655,1,2,4.069649993,27
Plot  Area,Immadihalli,1,672,1,1,4.069649993,27
Super built-up  Area,Magadi Road,2,750,2,1,4.072354843,27
Built-up  Area,Banashankari,2,600,1,0,4.072354843,27
Super built-up  Area,Ananth Nagar,2,890,2,1,4.072354843,27
Super built-up  Area,Yelahanka,2,870,2,1,4.073407375,27
Built-up  Area, Electronic City,1,550,1,1,4.073407375,27
Super built-up  Area,Kaikondrahalli,2,900,2,1,4.073407375,27
Built-up  Area,Sarjapur  Road,1,675,1,1,4.077536844,27
Super built-up  Area,Horamavu Agara,1,625,1,1,4.077536844,27
Super built-up  Area,Bisuvanahalli,2,850,2,1,4.077536844,27
Super built-up  Area,ITPL,2,900,2,1,4.079320164,27
Super built-up  Area,Kanakpura Road,1,525,,,4.079320164,27
